"customer_key","customer_number","customer_name","age_group","cust_segmentation","last_order_date","recency","total_orders","total_sales","total_quantity","total_products","time_spam","avg_order_value","avg_monthly_value"
97,"AW00011096","Andrés Anand","50-59","VIP","2013-07-30",141,3,8063.0,4.0,4,27,2687.67,298.63
98,"AW00011097","Edwin Nara","50-59","VIP","2013-07-24",141,3,8099.0,5.0,5,27,2699.67,299.96
99,"AW00011098","Mallory Rubio","50-59","New","2013-10-16",138,3,89.0,4.0,4,8,29.67,11.13
100,"AW00011099","Adam Ross","50-59","VIP","2013-07-01",142,3,8216.0,9.0,8,26,2738.67,316.0
101,"AW00011100","Latasha Navarro","50-59","VIP","2013-08-07",140,3,8172.0,7.0,7,27,2724.0,302.67
102,"AW00011101","Abby Sai","50-59","VIP","2013-06-29",142,3,8262.0,7.0,7,26,2754.0,317.77
103,"AW00011102","Julia Nelson","50-59","New","2013-12-09",136,3,103.0,5.0,5,4,34.33,25.75
104,"AW00011103","Cassie Chande","40-49","VIP","2013-06-06",142,3,8182.0,8.0,8,25,2727.33,327.28
105,"AW00011104","Edgar Sara","50-59","VIP","2013-06-15",142,3,8173.0,6.0,6,25,2724.33,326.92
106,"AW00011105","Candace Fernandez","50-59","VIP","2013-06-05",142,3,8096.0,5.0,5,24,2698.67,337.33
107,"AW00011106","Jessie Liu","50-59","VIP","2013-06-15",142,3,8079.0,3.0,3,24,2693.0,336.63
108,"AW00011107","Bianca Lin","40-49","VIP","2013-06-21",142,3,8171.0,6.0,6,25,2723.67,326.84
109,"AW00011108","Kari Alvarez","50-59","VIP","2013-06-23",142,3,8124.0,5.0,5,25,2708.0,324.96
110,"AW00011109","Ruben Kapoor","40-49","VIP","2013-06-24",142,3,8245.0,8.0,8,25,2748.33,329.8
111,"AW00011110","Curtis Yang","50-59","VIP","2013-08-20",140,3,8093.0,5.0,5,27,2697.67,299.74
112,"AW00011111","Meredith Gutierrez","50-59","VIP","2013-08-22",140,3,8137.0,8.0,8,27,2712.33,301.37
113,"AW00011112","Crystal Wang","50-59","VIP","2013-09-02",140,3,8295.0,6.0,6,27,2765.0,307.22
114,"AW00011113","Micheal Blanco","50-59","New","2013-04-21",144,3,110.0,7.0,7,2,36.67,55.0
115,"AW00011114","Leslie Moreno","50-59","New","2013-12-26",136,3,123.0,7.0,6,9,41.0,13.67
116,"AW00011115","Alvin Cai","50-59","New","2014-01-02",136,3,114.0,6.0,6,10,38.0,11.4
117,"AW00011116","Clinton Carlson","40-49","New","2013-10-16",138,3,149.0,7.0,7,7,49.67,21.29
118,"AW00011117","April Deng","50-59","VIP","2013-06-25",142,3,8185.0,8.0,8,25,2728.33,327.4
119,"AW00011118","Alvin Zeng","60 & Above","New","2014-01-26",135,3,124.0,8.0,6,6,41.33,20.67
120,"AW00011119","Evan James","60 & Above","New","2013-11-23",137,2,85.0,4.0,4,9,42.5,9.44
121,"AW00011120","Beth Jiménez","60 & Above","VIP","2013-09-19",139,3,8242.0,10.0,10,28,2747.33,294.36
122,"AW00011121","Orlando Suarez","50-59","New","2013-11-04",137,3,58.0,6.0,5,4,19.33,14.5
123,"AW00011122","Byron Vazquez","50-59","New","2013-08-22",140,3,43.0,3.0,3,6,14.33,7.17
124,"AW00011123","Philip Alvarez","50-59","New","2014-01-25",135,3,150.0,8.0,7,9,50.0,16.67
125,"AW00011124","Ross Jordan","50-59","VIP","2013-06-18",142,3,8129.0,6.0,6,25,2709.67,325.16
126,"AW00011125","Dana Navarro","60 & Above","New","2013-07-03",142,3,79.0,7.0,7,5,26.33,15.8
127,"AW00011126","Shaun Carson","60 & Above","Regular","2013-11-03",138,3,4971.0,8.0,7,29,1657.0,171.41
128,"AW00011127","Jan Edwards","40-49","New","2013-10-01",139,2,44.0,3.0,3,5,22.0,8.8
129,"AW00011128","Samantha Long","40-49","New","2013-08-12",140,2,144.0,7.0,7,1,72.0,144.0
130,"AW00011129","Julia Wright","40-49","VIP","2013-01-09",147,2,5873.0,2.0,2,17,2936.5,345.47
131,"AW00011130","Caroline Russell","30-39","New","2013-12-09",136,1,37.0,2.0,2,0,37.0,37.0
132,"AW00011131","Amanda Rivera","30-39","New","2014-01-23",135,5,166.0,9.0,9,3,33.2,55.33
133,"AW00011132","Melissa Richardson","30-39","New","2013-04-09",144,1,2372.0,6.0,6,0,2372.0,2372.0
134,"AW00011133","Angela Griffin","30-39","New","2013-12-30",136,1,72.0,4.0,4,0,72.0,72.0
135,"AW00011134","Larry Townsend","60 & Above","Regular","2013-11-03",138,3,4911.0,3.0,3,30,1637.0,163.7
136,"AW00011135","Marcus Harris","40-49","New","2013-04-18",144,1,2335.0,3.0,3,0,2335.0,2335.0
137,"AW00011136","Brianna Morgan","40-49","New","2013-01-03",148,1,2381.0,3.0,3,0,2381.0,2381.0
138,"AW00011137","Jasmine Taylor","40-49","New","2014-01-20",135,2,202.0,5.0,4,5,101.0,40.4
139,"AW00011138","Lauren Davis","40-49","New","2013-12-31",136,2,79.0,4.0,4,3,39.5,26.33
140,"AW00011139","Tanya Moreno","60 & Above","New","2013-10-17",138,2,84.0,3.0,3,1,42.0,84.0
141,"AW00011140","Javier Alvarez","40-49","New","2013-03-19",145,1,40.0,2.0,2,0,40.0,40.0
142,"AW00011141","Nicole Ramirez","40-49","New","2013-09-28",139,2,114.0,5.0,5,4,57.0,28.5
143,"AW00011142","Eduardo Patterson","40-49","New","2014-01-13",135,17,979.0,36.0,23,11,57.59,89.0
144,"AW00011143","Jonathan Henderson","40-49","New","2013-12-19",136,2,48.0,5.0,4,6,24.0,8.0
145,"AW00011144","Edward Hernandez","40-49","New","2013-01-25",147,1,2400.0,3.0,3,0,2400.0,2400.0
146,"AW00011145","Jasmine Coleman","30-39","New","2013-01-25",147,1,2310.0,3.0,3,0,2310.0,2310.0
147,"AW00011146","Karla Goel","60 & Above","New","2013-09-15",139,3,113.0,7.0,6,7,37.67,16.14
148,"AW00011147","Ernest Wu","60 & Above","VIP","2013-10-16",138,3,8195.0,7.0,7,29,2731.67,282.59
149,"AW00011148","Ross Vazquez","60 & Above","New","2013-12-03",137,3,126.0,6.0,5,8,42.0,15.75
150,"AW00011149","Theodore Gill","60 & Above","New","2013-11-29",137,3,41.0,4.0,4,5,13.67,8.2
151,"AW00011150","Russell Shen","60 & Above","New","2013-07-15",141,3,192.0,8.0,7,3,64.0,64.0
152,"AW00011151","Melinda Gill","60 & Above","VIP","2013-10-20",138,3,8087.0,6.0,6,29,2695.67,278.86
153,"AW00011152","James Williams","40-49","New","2013-01-09",147,1,2295.0,1.0,1,0,2295.0,2295.0
154,"AW00011153","Angela James","40-49","New","2013-03-29",145,2,110.0,5.0,5,0,55.0,110.0
155,"AW00011154","Megan Walker","40-49","New","2013-01-10",147,1,2320.0,1.0,1,0,2320.0,2320.0
156,"AW00011155","Hunter Robinson","40-49","New","2013-01-06",147,1,2320.0,1.0,1,0,2320.0,2320.0
157,"AW00011156","Maria Roberts","40-49","New","2013-01-08",147,1,2390.0,4.0,4,0,2390.0,2390.0
158,"AW00011157","Hannah Long","40-49","New","2013-09-11",139,2,41.0,3.0,3,1,20.5,41.0
159,"AW00011158","Jason Wright","40-49","New","2013-01-19",147,1,2396.0,3.0,3,0,2396.0,2396.0
160,"AW00011159","Brianna Hughes","40-49","New","2013-11-07",137,2,48.0,5.0,4,1,24.0,48.0
161,"AW00011160","Maurice Tang","40-49","New","2013-02-21",146,1,2322.0,2.0,2,0,2322.0,2322.0
162,"AW00011161","Emily Wood","40-49","New","2013-11-11",137,2,94.0,6.0,6,5,47.0,18.8
163,"AW00011162","Chase Cox","40-49","New","2013-02-18",146,1,2330.0,2.0,2,0,2330.0,2330.0
164,"AW00011163","Gabriel Wang","40-49","New","2013-08-05",140,2,46.0,4.0,4,3,23.0,15.33
165,"AW00011164","Devin Brooks","40-49","New","2013-08-05",140,2,145.0,6.0,6,3,72.5,48.33
166,"AW00011165","Jocelyn Alexander","40-49","New","2013-06-05",142,2,103.0,3.0,3,0,51.5,103.0
167,"AW00011166","Ashley Martinez","40-49","New","2013-12-06",136,2,88.0,5.0,5,1,44.0,88.0
168,"AW00011167","Jasmine Barnes","40-49","New","2013-11-28",137,2,3126.0,4.0,4,10,1563.0,312.6
169,"AW00011168","David Rodriguez","50-59","New","2013-11-16",137,2,3136.0,7.0,7,10,1568.0,313.6
170,"AW00011169","Bryce Richardson","50-59","New","2013-09-24",139,2,81.0,5.0,5,3,40.5,27.0
171,"AW00011170","Carol Howard","50-59","New","2013-12-29",136,2,157.0,7.0,7,4,78.5,39.25
172,"AW00011171","Jonathan Hill","40-49","VIP","2013-11-07",137,3,6716.0,8.0,8,26,2238.67,258.31
173,"AW00011172","Gabrielle Adams","50-59","New","2014-01-11",135,2,129.0,7.0,6,8,64.5,16.13
174,"AW00011173","Sarah Thomas","50-59","New","2013-12-24",136,2,103.0,3.0,3,9,51.5,11.44
175,"AW00011174","Nicholas Robinson","50-59","New","2013-07-25",141,2,48.0,5.0,4,0,24.0,48.0
176,"AW00011175","Luis Wang","50-59","VIP","2013-11-03",138,3,6710.0,8.0,8,26,2236.67,258.08
177,"AW00011176","Mason Roberts","40-49","New","2014-01-27",135,28,1317.0,60.0,27,11,47.04,119.73
178,"AW00011177","Jose Flores","60 & Above","New","2013-10-14",138,2,135.0,6.0,6,6,67.5,22.5
179,"AW00011178","Nathan Johnson","60 & Above","New","2013-05-26",143,2,145.0,6.0,6,3,72.5,48.33
180,"AW00011179","Molly Rodriguez","60 & Above","New","2014-01-09",135,2,125.0,6.0,6,9,62.5,13.89
181,"AW00011180","April Anand","60 & Above","New","2013-09-25",139,2,138.0,6.0,6,6,69.0,23.0
182,"AW00011181","Devin Martin","60 & Above","New","2013-07-11",141,2,41.0,3.0,3,2,20.5,20.5
183,"AW00011182","Stephanie Torres","60 & Above","New","2014-01-05",135,2,81.0,5.0,5,4,40.5,20.25
184,"AW00011183","Jasmine Lee","60 & Above","New","2013-06-13",142,2,46.0,4.0,4,1,23.0,46.0
185,"AW00011184","Meghan Hernandez","60 & Above","New","2013-10-09",138,2,68.0,5.0,5,1,34.0,68.0
186,"AW00011185","Ashley Henderson","60 & Above","New","2014-01-26",135,27,1616.0,68.0,29,11,59.85,146.91
187,"AW00011186","Sarah Price","60 & Above","New","2014-01-07",135,2,41.0,3.0,3,2,20.5,20.5
188,"AW00011187","Jennifer Cooper","60 & Above","New","2013-08-06",140,2,108.0,4.0,4,4,54.0,27.0
189,"AW00011188","Catherine Morris","60 & Above","New","2014-01-21",135,2,81.0,5.0,5,2,40.5,40.5
190,"AW00011189","Lawrence Blanco","60 & Above","VIP","2013-02-05",146,2,5944.0,6.0,6,17,2972.0,349.65
191,"AW00011190","Carson Bryant","60 & Above","New","2014-01-16",135,2,46.0,4.0,4,4,23.0,11.5
192,"AW00011191","Kristi Perez","60 & Above","VIP","2013-11-06",137,3,6743.0,7.0,7,26,2247.67,259.35
193,"AW00011192","James Brown","60 & Above","New","2013-09-25",139,2,114.0,5.0,5,3,57.0,38.0
194,"AW00011193","Ian Gray","60 & Above","New","2013-08-18",140,2,41.0,3.0,3,5,20.5,8.2
195,"AW00011194","Jacqueline Price","60 & Above","New","2013-12-08",136,2,105.0,6.0,6,8,52.5,13.13
196,"AW00011195","Megan Henderson","60 & Above","New","2013-10-22",138,2,105.0,6.0,6,6,52.5,17.5
197,"AW00011196","Alfredo Romero","60 & Above","New","2013-09-24",139,2,162.0,4.0,4,6,81.0,27.0
198,"AW00011197","Andrea Morris","60 & Above","New","2013-07-20",141,2,207.0,6.0,5,2,103.5,103.5
199,"AW00011198","Brooke Sanders","60 & Above","New","2013-02-13",146,2,98.0,4.0,4,0,49.0,98.0
200,"AW00011199","Jacqueline Bennett","60 & Above","New","2013-10-17",138,2,132.0,6.0,6,6,66.0,22.0
201,"AW00011200","Jason Griffin","60 & Above","New","2014-01-20",135,27,1461.0,55.0,26,11,54.11,132.82
202,"AW00011201","Amanda Foster","60 & Above","New","2013-09-09",139,2,181.0,6.0,6,2,90.5,90.5
203,"AW00011202","Alexia Price","60 & Above","New","2013-09-21",139,2,74.0,3.0,3,0,37.0,74.0
204,"AW00011203","Luis Diaz","60 & Above","New","2013-12-11",136,17,800.0,32.0,19,9,47.06,88.89
205,"AW00011204","Destiny Rivera","60 & Above","New","2013-11-10",137,2,77.0,4.0,4,3,38.5,25.67
206,"AW00011205","Abby Fernandez","60 & Above","New","2013-10-08",138,2,37.0,2.0,2,2,18.5,18.5
207,"AW00011206","Blake Flores","60 & Above","New","2013-05-30",143,2,77.0,4.0,4,0,38.5,77.0
208,"AW00011207","Danielle Cox","60 & Above","New","2013-10-18",138,2,77.0,4.0,4,8,38.5,9.63
209,"AW00011208","Maria Reed","60 & Above","New","2013-09-17",139,2,134.0,7.0,7,6,67.0,22.33
210,"AW00011209","Allison Evans","60 & Above","New","2014-01-22",135,2,37.0,2.0,2,9,18.5,4.11
211,"AW00011210","Edward Wood","60 & Above","New","2013-09-06",139,2,70.0,5.0,5,4,35.0,17.5
212,"AW00011211","Samantha Russell","60 & Above","New","2014-01-07",135,17,792.0,33.0,22,11,46.59,72.0
213,"AW00011212","Chloe Campbell","60 & Above","New","2014-01-17",135,17,824.0,33.0,20,11,48.47,74.91
214,"AW00011213","Stephanie Murphy","60 & Above","New","2013-09-09",139,2,77.0,4.0,4,5,38.5,15.4
215,"AW00011214","Charles Miller","60 & Above","New","2013-11-19",137,2,162.0,4.0,4,3,81.0,54.0
216,"AW00011215","Ana Perry","60 & Above","New","2013-12-15",136,17,1154.0,32.0,21,10,67.88,115.4
217,"AW00011216","Jasmine Torres","60 & Above","VIP","2013-02-05",146,2,5948.0,5.0,5,17,2974.0,349.88
218,"AW00011217","Natalie Adams","60 & Above","VIP","2013-02-14",146,2,5953.0,3.0,3,18,2976.5,330.72
219,"AW00011218","Olivia Brown","60 & Above","New","2014-01-04",135,2,39.0,3.0,2,10,19.5,3.9
220,"AW00011219","Charles Cook","60 & Above","New","2014-01-24",135,2,39.0,3.0,2,2,19.5,19.5
221,"AW00011220","Erica Huang","60 & Above","New","2013-12-13",136,2,50.0,4.0,4,8,25.0,6.25
222,"AW00011221","Nathan Perry","60 & Above","New","2013-10-17",138,2,46.0,4.0,4,6,23.0,7.67
223,"AW00011222","Alexandra Rivera","60 & Above","New","2013-11-28",137,2,208.0,6.0,6,0,104.0,208.0
224,"AW00011223","Hailey Patterson","60 & Above","New","2014-01-06",135,27,1193.0,65.0,26,11,44.19,108.45
225,"AW00011224","Tiffany Li","60 & Above","VIP","2013-12-03",137,3,6685.0,5.0,5,27,2228.33,247.59
226,"AW00011225","Madison Lee","60 & Above","New","2013-09-06",139,2,73.0,5.0,5,2,36.5,36.5
227,"AW00011226","Sydney Ross","60 & Above","New","2013-03-31",145,2,37.0,2.0,2,1,18.5,37.0
228,"AW00011227","Marshall Chavez","60 & Above","VIP","2013-02-10",146,2,5910.0,5.0,5,18,2955.0,328.33
229,"AW00011228","Ashley Jones","60 & Above","New","2014-01-17",135,2,77.0,4.0,4,2,38.5,38.5
230,"AW00011229","Adrian Stewart","60 & Above","New","2014-01-25",135,2,81.0,5.0,5,5,40.5,16.2
231,"AW00011230","Amber Turner","60 & Above","New","2013-12-09",136,2,54.0,5.0,5,4,27.0,13.5
232,"AW00011231","Dennis Zhang","60 & Above","New","2013-11-12",137,2,64.0,4.0,4,9,32.0,7.11
233,"AW00011232","Hailey Bryant","60 & Above","New","2013-11-13",137,2,39.0,3.0,2,1,19.5,39.0
234,"AW00011233","Todd Li","60 & Above","New","2013-06-08",142,2,179.0,7.0,7,4,89.5,44.75
235,"AW00011234","Anna Griffin","60 & Above","New","2013-09-19",139,2,76.0,4.0,4,7,38.0,10.86
236,"AW00011235","Angel Stewart","60 & Above","New","2014-01-05",135,2,138.0,6.0,5,6,69.0,23.0
237,"AW00011236","Jeremy Butler","60 & Above","New","2014-01-06",135,2,114.0,5.0,5,3,57.0,38.0
238,"AW00011237","Clarence Anand","60 & Above","VIP","2013-11-25",137,4,10566.0,6.0,6,26,2641.5,406.38
239,"AW00011238","Mayra Prasad","60 & Above","VIP","2013-04-30",144,4,7543.0,9.0,9,27,1885.75,279.37
240,"AW00011239","Latoya Goel","50-59","VIP","2013-05-28",143,4,7511.0,11.0,11,28,1877.75,268.25
241,"AW00011240","Anne Hernandez","60 & Above","VIP","2013-05-13",143,4,7586.0,13.0,10,26,1896.5,291.77
242,"AW00011241","Lisa Cai","50-59","VIP","2013-10-29",138,7,11468.0,25.0,20,13,1638.29,882.15
